x,y,z,reachable,left_ok,right_ok,left_error,right_error,left_joint_margin,right_joint_margin,left_sigma_min,right_sigma_min
-0.7,0.40000000000000013,0.15,0,0,1,0.06459996580805102,3.123938971938459e-05,0.0,0.5961873509456561,0.16990722452540877,0.21352275356103967
-0.75,0.40000000000000013,0.15,0,0,1,0.07622184822633057,3.745494750522322e-05,0.0,0.6423562859141958,0.14557762210030548,0.21987597982778317
-0.75,0.45000000000000007,0.15,0,0,1,0.09785272066573195,2.3829831271826803e-05,0.0,0.7851333302150159,0.12568784701591354,0.21939588010758682
-0.7,0.45000000000000007,0.15,0,0,1,0.09280282142725876,3.4846217512792755e-05,0.0,0.7410956275129874,0.15358093936918574,0.21708008109330956
-0.6499999999999999,0.45000000000000007,0.15,0,0,1,0.08043201896702654,3.158287133139168e-05,0.0,0.7169014200121273,0.17437756343894406,0.2132023337773375
-0.5999999999999999,0.45000000000000007,0.15,0,0,1,0.06405841337035384,3.128784945858731e-05,0.0,0.7129270573259188,0.19035709501926337,0.2090383098979542
-0.5499999999999998,0.45000000000000007,0.15,0,0,1,0.04579092843737712,3.60785255781931e-05,0.0,0.7292631913859147,0.20258545284885085,0.2055571286476251
-0.4999999999999998,0.45000000000000007,0.15,0,0,1,0.027588478574346244,4.2563512046774284e-05,0.0,0.7656174754803851,0.21162501702207467,0.2031642568113964
-0.44999999999999973,0.45000000000000007,0.15,0,0,1,0.011639751238576499,4.673562503908078e-05,0.0,0.8213575451007036,0.2177963003808002,0.20153745801691939
-0.3999999999999997,0.45000000000000007,0.15,1,1,1,0.001998230124246739,4.7928305504757355e-05,0.0,0.8956796970367895,0.22135553111589565,0.19961270209570994
-0.34999999999999964,0.45000000000000007,0.15,1,1,1,0.001654854293675237,4.821345085526958e-05,0.0,0.9835957796315978,0.22273589958314413,0.19587014309554981
-0.2999999999999996,0.45000000000000007,0.15,1,1,1,0.0018793774897688472,5.047994572814653e-05,0.0,0.9184414687562744,0.22274430644506185,0.18892526782246963
-0.24999999999999956,0.45000000000000007,0.15,0,0,1,0.015783809217851847,5.7844169539946566e-05,0.0,0.8496002629843249,0.22235234874777987,0.17799580233392434
-0.1999999999999995,0.45000000000000007,0.15,0,0,1,0.10627121383344251,7.543240014010457e-05,0.0,0.7765741860343747,0.22236797675623152,0.1627808515181874
